Doryfera ludovicae
Elvira chionura
Elvira cupreiceps
Ensifera ensifera
Eriocnemis alinae
Eriocnemis cupreoventris
Eriocnemis derbyi
Eriocnemis glaucopoides
Eriocnemis godini
Eriocnemis isabellae
Eriocnemis luciani
Eriocnemis mirabilis
Eriocnemis mosquera
Eriocnemis nigrivestis
Eriocnemis vestita
Eugenes fulgens
Eulampis holosericeus
Eulampis jugularis
Eulidia yarrellii
Eupetomena macroura
Eupherusa cyanophrys
Eupherusa eximia
Eupherusa nigriventris
Eupherusa poliocerca
Eutoxeres aquila
Eutoxeres condamini
Florisuga fusca
Florisuga mellivora
Glaucis aeneus
Glaucis dohrnii
Glaucis hirsutus
Goethalsia bella
Goldmania violiceps
Haplophaedia assimilis
Haplophaedia aureliae
Haplophaedia lugens
Heliactin bilophus
Heliangelus amethysticollis
Heliangelus exortis
Heliangelus mavors
Heliangelus micraster
Heliangelus regalis
Heliangelus strophianus
Heliangelus viola
Heliangelus zusii
Heliodoxa aurescens
Heliodoxa branickii
Heliodoxa gularis
Heliodoxa imperatrix
Heliodoxa jacula
Heliodoxa leadbeateri
Heliodoxa rubinoides
Heliodoxa schreibersii
Heliodoxa xanthogonys
Heliomaster constantii
Heliomaster furcifer
Heliomaster longirostris
Heliomaster squamosus
Heliothryx auritus
Heliothryx barroti
Hylocharis chrysura
Hylocharis cyanus
Hylocharis eliciae
Hylocharis grayi
Hylocharis sapphirina
Hylonympha macrocerca
Klais guimeti
Lafresnaya lafresnayi
Lampornis amethystinus
Lampornis calolaemus
Lampornis castaneoventris
Lampornis clemenciae
Lampornis hemileucus
Lampornis sybillae
Lampornis viridipallens
Lamprolaima rhami
Lepidopyga coeruleogularis
Lepidopyga goudoti
Lepidopyga lilliae
Lesbia nuna
Lesbia victoriae
Leucippus baeri
Leucippus chlorocercus
Leucippus fallax
Leucippus taczanowskii
Leucochloris albicollis
Loddigesia mirabilis
Lophornis adorabilis
Lophornis brachylophus
Lophornis chalybeus
Lophornis delattrei
Lophornis gouldii
Lophornis helenae
Lophornis magnificus
Lophornis ornatus
Lophornis pavoninus
Lophornis stictolophus
Mellisuga helenae
Mellisuga minima
Metallura aeneocauda
Metallura baroni
Metallura eupogon
Metallura iracunda
Metallura odomae
Metallura phoebe
Metallura theresiae
Metallura tyrianthina
Metallura williami
Microchera albocoronata
Microstilbon burmeisteri
Myrmia micrura
Myrtis fanny
Ocreatus underwoodii
Opisthoprora euryptera
Oreonympha nobilis
Oreotrochilus adela
Oreotrochilus chimborazo
Oreotrochilus estella
Oreotrochilus leucopleurus
Oreotrochilus melanogaster
Orthorhyncus cristatus
Oxypogon guerinii
Panterpe insignis
Patagona gigas
Phaethornis aethopyga
Phaethornis anthophilus
Phaethornis atrimentalis
Phaethornis augusti
Phaethornis bourcieri
Phaethornis eurynome
Phaethornis griseogularis
Phaethornis guy
Phaethornis hispidus
Phaethornis idaliae
Phaethornis koepckeae
Phaethornis longirostris
Phaethornis longuemareus
Phaethornis malaris
Phaethornis nattereri
Phaethornis philippii
Phaethornis pretrei
Phaethornis ruber
Phaethornis rupurumii
Phaethornis squalidus
Phaethornis striigularis
Phaethornis stuarti
Phaethornis subochraceus
Phaethornis superciliosus
Phaethornis syrmatophorus
Phaethornis yaruqui
Phlogophilus harterti
Phlogophilus hemileucurus
Polyonymus caroli
Polytmus guainumbi
Polytmus milleri
Polytmus theresiae
